,submission_id,itemID,type,setting,region,avg_rt,phrase,phrase_length,speakerKnowledge,is_a_quantifier,item_has_a_scalar_trigger_sentence,triggerType
44,3409,17,trigger,scalar,3_s_ntw_2,280.0,Some of the steps were damaged.,6.0,full,no,yes,scalar
45,3409,17,continuation,complement,1_anaphor,277.5,The others were fine so the repairs shouldn’t be too expensive.,11.0,full,no,yes,scalar
46,3409,17,continuation,complement,2_predicate,394.5,The others were fine so the repairs shouldn’t be too expensive.,11.0,full,no,yes,scalar
47,3409,17,continuation,complement,3_clause_boundary,260.0,The others were fine so the repairs shouldn’t be too expensive.,11.0,full,no,yes,scalar
48,3409,17,continuation,complement,4_next_two_words,280.0,The others were fine so the repairs shouldn’t be too expensive.,11.0,full,no,yes,scalar
49,3409,14,trigger,scalar,1_s_quantifier,303.0,Some of my predictions were correct.,6.0,full,no,yes,scalar
50,3409,14,trigger,scalar,2_s_ntw_1,282.0,Some of my predictions were correct.,6.0,full,no,yes,scalar
51,3409,14,trigger,scalar,3_s_ntw_2,282.0,Some of my predictions were correct.,6.0,full,no,yes,scalar
52,3409,14,continuation,complement,1_anaphor,311.5,The rest were wrong so my theory must be mistaken.,10.0,full,no,yes,scalar
53,3409,14,continuation,complement,2_predicate,321.5,The rest were wrong so my theory must be mistaken.,10.0,full,no,yes,scalar
54,3409,14,continuation,complement,3_clause_boundary,294.0,The rest were wrong so my theory must be mistaken.,10.0,full,no,yes,scalar
55,3409,14,continuation,complement,4_next_two_words,290.0,The rest were wrong so my theory must be mistaken.,10.0,full,no,yes,scalar
56,3409,18,trigger,focused,1_f_particle,271.0,Only some of its problems were difficult.,7.0,partial,no,no,focused
57,3409,18,trigger,focused,2_f_quantifier,235.0,Only some of its problems were difficult.,7.0,partial,no,no,focused
58,3409,18,trigger,focused,3_f_ntw_1,235.0,Only some of its problems were difficult.,7.0,partial,no,no,focused
59,3409,18,trigger,focused,4_f_ntw_2,268.0,Only some of its problems were difficult.,7.0,partial,no,no,focused
60,3409,18,continuation,complement,1_anaphor,31.0,The others were straightforward and I feel like I learned a lot.,12.0,partial,no,no,focused
61,3409,18,continuation,complement,2_predicate,32.0,The others were straightforward and I feel like I learned a lot.,12.0,partial,no,no,focused
62,3409,18,continuation,complement,4_next_two_words,30.0,The others were straightforward and I feel like I learned a lot.,12.0,partial,no,no,focused
63,3409,10,trigger,focused,1_f_particle,222.0,Only some of my favorite rides were still running.,9.0,partial,no,no,focused
64,3409,10,trigger,focused,2_f_quantifier,235.5,Only some of my favorite rides were still running.,9.0,partial,no,no,focused
65,3409,10,trigger,focused,3_f_ntw_1,267.0,Only some of my favorite rides were still running.,9.0,partial,no,no,focused
66,3409,10,trigger,focused,4_f_ntw_2,265.5,Only some of my favorite rides were still running.,9.0,partial,no,no,focused
67,3409,10,continuation,complement,1_anaphor,263.5,The rest were shut down since they were no longer popular.,11.0,partial,no,no,focused
68,3409,10,continuation,complement,2_predicate,242.33333333333334,The rest were shut down since they were no longer popular.,11.0,partial,no,no,focused
69,3409,10,continuation,complement,3_clause_boundary,296.0,The rest were shut down since they were no longer popular.,11.0,partial,no,no,focused
70,3409,10,continuation,complement,4_next_two_words,283.0,The rest were shut down since they were no longer popular.,11.0,partial,no,no,focused
71,3409,5,trigger,focused,1_f_particle,32.0,Only some of the real estate investments lost money.,9.0,full,no,no,focused
72,3409,5,trigger,focused,2_f_quantifier,38.5,Only some of the real estate investments lost money.,9.0,full,no,no,focused
73,3409,5,trigger,focused,3_f_ntw_1,31.0,Only some of the real estate investments lost money.,9.0,full,no,no,focused
